model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
InceptionTime,Chinatown,GuidedBackprop,0.0,0.0,0.0
InceptionTime,Chinatown,InputXGradient,0.0,0.0,0.0
InceptionTime,Chinatown,KernelShap,0.0,0.0,0.0
InceptionTime,Chinatown,Lime,0.0,0.0,0.0
InceptionTime,Chinatown,Occlusion,0.0,0.0,0.0
InceptionTime,Computers,Saliency,0.46,0.42276422764227645,0.49606299212598426
InceptionTime,Computers,GuidedBackprop,0.428,0.37398373983739835,0.48031496062992124
InceptionTime,Computers,InputXGradient,0.48,0.44715447154471544,0.5118110236220472
InceptionTime,Computers,KernelShap,0.204,0.2764227642276423,0.13385826771653545
InceptionTime,Computers,Lime,0.36,0.3333333333333333,0.3858267716535433
InceptionTime,Computers,Occlusion,0.496,0.4715447154471545,0.5196850393700787
InceptionTime,ECGFiveDays,Saliency,0.4901277584204414,0.5164319248826291,0.46436781609195404
InceptionTime,ECGFiveDays,GuidedBackprop,0.49709639953542395,0.5187793427230047,0.47586206896551725
InceptionTime,ECGFiveDays,InputXGradient,0.4994192799070848,0.5187793427230047,0.4804597701149425
InceptionTime,ECGFiveDays,KernelShap,0.12311265969802555,0.1784037558685446,0.06896551724137931
InceptionTime,ECGFiveDays,Lime,0.3310104529616725,0.31690140845070425,0.3448275862068966
InceptionTime,ECGFiveDays,Occlusion,0.4994192799070848,0.5187793427230047,0.4804597701149425
InceptionTime,TwoLeadECG,Saliency,0.4995610184372256,0.48034188034188036,0.51985559566787
InceptionTime,TwoLeadECG,GuidedBackprop,0.46707638279192276,0.47692307692307695,0.4566787003610108
InceptionTime,TwoLeadECG,InputXGradient,0.4697102721685689,0.4666666666666667,0.4729241877256318
InceptionTime,TwoLeadECG,KernelShap,0.04214223002633889,0.03418803418803419,0.05054151624548736
InceptionTime,TwoLeadECG,Lime,0.19315188762071994,0.13333333333333333,0.2563176895306859
InceptionTime,TwoLeadECG,Occlusion,0.4820017559262511,0.48034188034188036,0.48375451263537905
InceptionTime,Lightning2,Saliency,0.4918032786885246,0.375,0.5675675675675675
InceptionTime,Lightning2,GuidedBackprop,0.4918032786885246,0.375,0.5675675675675675
InceptionTime,Lightning2,InputXGradient,0.45901639344262296,0.375,0.5135135135135135
InceptionTime,Lightning2,KernelShap,0.3442622950819672,0.2916666666666667,0.3783783783783784
